season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2025-26,26,Claire Dalton,TOR,F,23,221.21666666666667,3.1589648190210986,1,False
2025-26,30,Kristin O'Neill,NY,F,27,282.0,6.43001897884254,4,False
2025-26,31,Marie-Philip Poulin,MTL,F,17,300.95,5.004841921016096,9,False
2025-26,32,Laura Stacey,MTL,F,28,297.68333333333334,10.034796004667003,7,False
2025-26,34,Alex Carpenter,SEA,F,29,284.93333333333334,9.004697058667825,11,False
2025-26,35,Jade Downie-Landry,MTL,F,17,87.56666666666666,2.8346238185962007,2,False
2025-26,36,Jessie Eldridge,SEA,F,28,234.6833333333333,6.941530818284628,14,False
2025-26,38,Brooke Hobson,OTT,D,11,256.0,1.3782791997845059,1,False
2025-26,39,Alexandra Labelle,MTL,F,14,135.26666666666668,2.0149953046684796,0,False
2025-26,40,Paetyn Levis,NY,F,29,271.56666666666666,4.870797875248647,5,False
2025-26,42,Abby Roque,MTL,F,25,285.0333333333333,5.980904561413256,8,False
2025-26,44,Ella Shelton,TOR,D,28,402.81666666666666,4.315130216826618,3,False
2025-26,45,Kayla Vespa,NY,F,13,113.33333333333333,2.016529484841416,0,False
2025-26,46,Olivia Zafuto,BOS,D,1,2.533333333333333,0.08316278571330533,0,False
2025-26,47,Micah Zandee-Hart,NY,D,22,290.41666666666663,2.52351217356887,1,False
2025-26,49,Lexie Adzija,SEA,F,25,205.18333333333334,4.3555705005247525,4,False
2025-26,50,Ashton Bell,VAN,D,18,329.0833333333333,1.8478269427148168,2,False
2025-26,51,Amanda Boulier,MTL,D,17,240.8,1.1591693560536447,0,False
2025-26,52,Zoe Boyd,BOS,D,10,207.5,1.0729657826641756,0,False
2025-26,53,Emily Clark,OTT,F,30,275.8333333333333,7.340096417413785,3,False
2025-26,56,Savannah Harmon,TOR,D,25,368.3833333333333,3.5332859908305454,2,False
2025-26,57,Gabbie Hughes,OTT,F,18,216.7,3.5877137363899028,5,False
2025-26,58,Brianne Jenner,OTT,F,30,305.48333333333335,7.072453080467946,12,False
2025-26,60,Jincy Roese,NY,D,20,269.06666666666666,1.7301611869291305,0,False
2025-26,61,Hayley Scamurra,MTL,F,23,217.68333333333334,6.26142377839108,7,False
2025-26,62,Aneta Tejralova,SEA,D,17,99.6,2.115010889299085,2,False
2025-26,63,Daryl Watts,TOR,F,26,268.46666666666664,7.010995600646007,10,False
2025-26,65,Jesse Compher,TOR,F,27,267.31666666666666,6.48659424607348,6,False
2025-26,66,Maggie Connors,TOR,F,24,210.58333333333334,5.109310143011837,3,False
2025-26,67,Renata Fast,TOR,D,24,288.21666666666664,4.45116993515242,1,False
2025-26,68,Kali Flanagan,TOR,D,23,362.23333333333335,3.3788942072100943,2,False
2025-26,71,Jocelyne Larocque,OTT,D,19,370.2333333333333,2.1708614950383125,1,False
2025-26,72,Rebecca Leslie,OTT,F,29,294.59999999999997,9.417639206223933,14,False
2025-26,73,Emma Maltais,TOR,F,27,304.6166666666667,5.17579117538385,3,False
2025-26,74,Allie Munroe,TOR,D,8,162.25,0.5318047686444777,0,False
2025-26,75,Sarah Nurse,VAN,F,18,104.3,6.599488879520109,9,False
2025-26,76,Blayre Turnbull,TOR,F,29,288.7,7.32833709859971,9,False
2025-26,78,Susanna Tapani,BOS,F,25,271.0,6.047520603277507,8,False
2025-26,79,Maggie Flaherty,MTL,D,19,278.6,2.280485055080716,4,False
2025-26,83,Erin Ambrose,MTL,D,13,289.2833333333333,1.960012781920244,0,False
