Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Jessica Digirolamo,5,BOS,RD,28,484.66666666666663,1,1,3,6,12,1.4408334635323254,0.7427785419532326,0.9869342151330872,0.9869342151330872,0.17837002987332778,0.3552963174479114,0.5336663473212392,-2.067,2.87,0.803,-0.332,4.75,4.418,-0.066,0.941,0.875,0.108,0.2195,-0.2327,5.0492
Shay Maloney,183,BOS,C,28,364.1666666666667,2,1,3,0,8,4.297875850265455,0.0,-0.030993936206108637,-0.030993936206108606,0.7081168448949948,-0.011157817034199097,0.6969590278607958,1.662,-0.068,1.594,2.966,1.345,4.311,0.587,0.266,0.853,0.141,0.2195,-0.2327,5.0492
Mikyla Grant-Mentis,138,MTL,F,30,388.98333333333335,3,3,1,4,18,3.284868353150651,0.616993015981833,0.3395105460928682,0.33951054609286824,0.5066852080784242,0.12222379659343256,0.6289090046718567,0.469,0.792,1.261,1.862,2.301,4.163,0.369,0.456,0.825,0.127,0.2195,-0.2327,5.0492
Jade Downie-Landry,35,NY,F,28,325.5833333333333,5,2,0,0,31,3.53302273042421,0.0,0.2798136304662301,0.27981363046623015,0.6510817419773308,0.10073290696784284,0.7518146489451737,1.176,0.547,1.723,2.342,1.809,4.151,0.464,0.358,0.822,0.151,0.2195,-0.2327,5.0492
Ella Shelton,44,NY,D,22,539.0833333333334,8,4,3,-1,10,2.724015894065948,-0.11130004637501931,0.34921155907648577,0.3492115590764858,0.3031830953358297,0.1257161612675349,0.4288992566033646,-1.178,1.13,-0.048,0.752,3.22,3.972,0.149,0.638,0.787,0.088,0.2195,-0.2327,5.0492
Brooke McQuigge,192,MIN,F,27,359.6666666666667,8,0,7,3,10,3.9883176718850226,0.5004633920296571,-0.04426713272673233,-0.0442671327267323,0.6653356635211344,-0.015936167781623628,0.6493994957395107,1.385,-0.096,1.289,2.672,1.299,3.971,0.529,0.257,0.786,0.131,0.2195,-0.2327,5.0492
Alina Müller,15,BOS,LW,24,423.25,7,7,2,0,6,3.523099349938909,0.0,0.0773949455426336,0.07739494554263363,0.4994352297609794,0.027862180395348105,0.5272974101563276,0.459,0.197,0.656,1.975,1.838,3.813,0.391,0.364,0.755,0.107,0.2195,-0.2327,5.0492
Victoria Bach,125,OTT,F,24,287.95,3,3,0,4,4,2.21031779662999,0.8334780343809689,0.8690117411096021,0.8690117411096021,0.4605628331231095,0.3128442267994567,0.7734070599225662,0.126,1.501,1.627,1.157,2.618,3.775,0.229,0.518,0.747,0.156,0.2195,-0.2327,5.0492
Susanna Tapani,78,BOS,C,28,602.5833333333333,10,4,3,-4,8,4.744248026244588,-0.39828516111187945,-0.3068434345750855,-0.30684343457508545,0.4723908973718855,-0.11046363644703076,0.3619272609248547,0.383,-1.109,-0.726,2.54,1.228,3.768,0.503,0.243,0.746,0.074,0.2195,-0.2327,5.0492
Alexa Vasko,101,OTT,F,23,206.55,2,2,0,6,8,1.4706682943913298,1.7429193899782134,1.7957768238897784,1.7957768238897784,0.42720938108680606,0.6464796566003203,1.0736890376871262,-0.024,2.226,2.202,0.715,3.027,3.742,0.142,0.6,0.742,0.216,0.2195,-0.2327,5.0492
Paetyn Levis,40,NY,F,28,401.98333333333335,5,2,2,-1,10,2.903103478668075,-0.1492599195654878,0.24366035783718115,0.24366035783718118,0.4333169917162847,0.08771772882138522,0.5210347205376699,-0.007,0.588,0.581,1.432,2.147,3.579,0.284,0.425,0.709,0.106,0.2195,-0.2327,5.0492
Anna Wilgren,203,MTL,D,30,497.68333333333334,3,1,5,7,8,1.2269659864594629,0.8439101168748534,0.7527690273321064,0.7527690273321064,0.14792128700492502,0.2709968498395583,0.4189181368444833,-2.375,2.248,-0.127,-0.594,4.178,3.584,-0.118,0.827,0.709,0.085,0.2195,-0.2327,5.0492
Sidney Morin,167,BOS,RD,28,554.0666666666666,3,2,2,0,10,2.6618307619985098,0.0,0.18708407956145143,0.18708407956145146,0.28825023292006485,0.06735026864212253,0.35560050156218737,-1.349,0.622,-0.727,0.635,2.771,3.406,0.126,0.549,0.675,0.073,0.2195,-0.2327,5.0492
Jaime Bourbonnais,87,NY,D,28,650.9833333333333,2,3,2,-4,14,2.7826264048236067,-0.3686730331037661,0.11610136463928963,0.11610136463928966,0.25646982916523675,0.04179649127014427,0.29826632043538104,-1.929,0.453,-1.476,0.401,2.978,3.379,0.079,0.59,0.669,0.062,0.2195,-0.2327,5.0492
Emily Brown,2,BOS,LD,27,491.66666666666663,1,2,0,4,12,1.0217208358604717,0.488135593220339,0.7601754010181206,0.7601754010181206,0.12468457657958298,0.27366314436652345,0.39834772094610643,-2.537,2.243,-0.294,-0.777,4.149,3.372,-0.154,0.822,0.668,0.082,0.2195,-0.2327,5.0492
Gabby Rosenthal,227,NY,F,27,369.01666666666665,1,2,1,-1,8,2.788060228800545,-0.16259428210107946,0.21993508915662285,0.21993508915662288,0.45332265135639593,0.07917663209638423,0.5324992834527802,0.117,0.487,0.604,1.438,1.918,3.356,0.285,0.38,0.665,0.108,0.2195,-0.2327,5.0492
Alexandra Labelle,39,MTL,F,19,307.4,1,1,2,4,2,2.2724103682267263,0.7807417046193885,0.5360560302071538,0.5360560302071538,0.44354138612102667,0.19298017087457534,0.636521556995602,0.047,0.989,1.036,1.148,2.181,3.329,0.227,0.432,0.659,0.129,0.2195,-0.2327,5.0492
